State,Declaration Type,MONTH,YEAR
Alabama,Major Disaster Declaration,5,2009
Alabama,Major Disaster Declaration,4,2009
Alabama,Major Disaster Declaration,12,2009
Alabama,Major Disaster Declaration,12,2009
Alabama,Major Disaster Declaration,5,2010
Alabama,Major Disaster Declaration,4,2011
Alabama,Emergency Declaration,4,2011
Alabama,Major Disaster Declaration,2,2012
Alabama,Major Disaster Declaration,9,2012
Alaska,Major Disaster Declaration,11,2012
Alaska,Major Disaster Declaration,2,2012
Alaska,Major Disaster Declaration,12,2011
Alaska,Major Disaster Declaration,6,2011
Alaska,Fire Management Assistance Declaration,5,2011
Alaska,Major Disaster Declaration,12,2009
Alaska,Major Disaster Declaration,6,2009
Alaska,Fire Management Assistance Declaration,5,2009
Alaska,Major Disaster Declaration,9,2008
Alaska,Fire Management Assistance Declaration,6,2007
Alaska,Major Disaster Declaration,12,2006
Alaska,Major Disaster Declaration,10,2006
Alaska,Major Disaster Declaration,10,2006
Alaska,Major Disaster Declaration,8,2006
Alaska,Fire Management Assistance Declaration,6,2006
Alaska,Major Disaster Declaration,12,2005
Alaska,Major Disaster Declaration,3,2005
Alaska,Major Disaster Declaration,11,2004
Alaska,Fire Management Assistance Declaration,9,2004
Alaska,Fire Management Assistance Declaration,8,2004
Alaska,Fire Management Assistance Declaration,7,2004
Alaska,Major Disaster Declaration,4,2003
Alaska,Major Disaster Declaration,12,2002
Alaska,Major Disaster Declaration,11,2002
Alaska,Major Disaster Declaration,6,2002
Alaska,Fire Management Assistance Declaration,6,2001
Alaska,Major Disaster Declaration,2,2000
Alaska,Major Disaster Declaration,6,1996
Alaska,Fire Management Assistance Declaration,6,1996
Alaska,Major Disaster Declaration,10,1995
Alaska,Major Disaster Declaration,9,1994
Alaska,Fire Management Assistance Declaration,7,1991
Alaska,Major Disaster Declaration,5,1991
Alaska,Fire Management Assistance Declaration,7,1990
Alaska,Major Disaster Declaration,6,1989
Alaska,Major Disaster Declaration,5,1989
Alaska,Major Disaster Declaration,3,1988
Alaska,Major Disaster Declaration,10,1986
Alaska,Major Disaster Declaration,10,1986
Alaska,Major Disaster Declaration,12,1975
Alaska,Major Disaster Declaration,11,1974
Alaska,Major Disaster Declaration,6,1974
Alaska,Major Disaster Declaration,11,1973
Alaska,Fire Management Assistance Declaration,5,1973
Alaska,Fire Management Assistance Declaration,6,1971
Alaska,Fire Management Assistance Declaration,6,1971
Alaska,Fire Management Assistance Declaration,6,1970
Alaska,Major Disaster Declaration,12,1969
Alaska,Major Disaster Declaration,8,1967
Alaska,Major Disaster Declaration,3,1964
Alaska,Major Disaster Declaration,12,1955
Alaska,Major Disaster Declaration,11,1954
Alaska,Major Disaster Declaration,10,1953
American Samoa,Major Disaster Declaration,2,1966
American Samoa,Major Disaster Declaration,9,1974
American Samoa,Major Disaster Declaration,11,1979
American Samoa,Major Disaster Declaration,3,1981
American Samoa,Major Disaster Declaration,1,1987
American Samoa,Major Disaster Declaration,2,1990
American Samoa,Major Disaster Declaration,12,1991
American Samoa,Major Disaster Declaration,6,2003
American Samoa,Major Disaster Declaration,1,2004
American Samoa,Major Disaster Declaration,2,2005
American Samoa,Major Disaster Declaration,9,2009
Arizona,Major Disaster Declaration,4,1966
Arizona,Major Disaster Declaration,9,1970
Arizona,Major Disaster Declaration,10,1972
Arizona,Major Disaster Declaration,7,1972
Arizona,Major Disaster Declaration,11,1977
Arizona,Emergency Declaration,4,1977
Arizona,Major Disaster Declaration,12,1978
Arizona,Major Disaster Declaration,3,1978
Arizona,Major Disaster Declaration,2,1980
Arizona,Major Disaster Declaration,10,1983
Arizona,Major Disaster Declaration,7,1983
Arizona,Major Disaster Declaration,1,1985
Arizona,Major Disaster Declaration,12,1990
Arizona,Fire Management Assistance Declaration,6,1990
Arizona,Major Disaster Declaration,1,1993
Arizona,Fire Management Assistance Declaration,7,1993
Arizona,Fire Management Assistance Declaration,6,1993
Arizona,Fire Management Assistance Declaration,6,1993
Arizona,Fire Management Assistance Declaration,6,1993
Arizona,Fire Management Assistance Declaration,6,1994
Arizona,Fire Management Assistance Declaration,6,1994
Arizona,Fire Management Assistance Declaration,6,1994
Arizona,Fire Management Assistance Declaration,6,1994
Arizona,Fire Management Assistance Declaration,4,1994
Arizona,Fire Management Assistance Declaration,7,1995
Arizona,Fire Management Assistance Declaration,6,1995
Arizona,Fire Management Assistance Declaration,6,1996
Arizona,Fire Management Assistance Declaration,6,1996
Arizona,Fire Management Assistance Declaration,5,1996
Arizona,Major Disaster Declaration,10,1999
Arizona,Fire Management Assistance Declaration,6,1999
Arizona,Major Disaster Declaration,10,2000
Arizona,Fire Management Assistance Declaration,7,2002
Arizona,Fire Management Assistance Declaration,7,2002
Arizona,Fire Management Assistance Declaration,6,2002
Arizona,Fire Management Assistance Declaration,6,2002
Arizona,Fire Management Assistance Declaration,5,2002
Arizona,Fire Management Assistance Declaration,4,2002
Arizona,Major Disaster Declaration,6,2002
Arizona,Fire Management Assistance Declaration,7,2003
Arizona,Fire Management Assistance Declaration,6,2003
Arizona,Fire Management Assistance Declaration,6,2003
Arizona,Major Disaster Declaration,7,2003
Arizona,Fire Management Assistance Declaration,6,2004
Arizona,Fire Management Assistance Declaration,6,2004
Arizona,Emergency Declaration,9,2005
Arizona,Fire Management Assistance Declaration,7,2005
Arizona,Fire Management Assistance Declaration,6,2005
Arizona,Fire Management Assistance Declaration,6,2005
Arizona,Fire Management Assistance Declaration,6,2005
Arizona,Fire Management Assistance Declaration,6,2005
Arizona,Fire Management Assistance Declaration,5,2005
Arizona,Major Disaster Declaration,4,2005
Arizona,Major Disaster Declaration,2,2005
Arizona,Fire Management Assistance Declaration,6,2006
Arizona,Fire Management Assistance Declaration,6,2006
Arizona,Fire Management Assistance Declaration,6,2006
Arizona,Fire Management Assistance Declaration,6,2006
Arizona,Major Disaster Declaration,9,2006
Arizona,Fire Management Assistance Declaration,6,2008
Arizona,Fire Management Assistance Declaration,10,2009
Arizona,Fire Management Assistance Declaration,8,2009
Arizona,Fire Management Assistance Declaration,5,2009
Arizona,Emergency Declaration,1,2010
Arizona,Fire Management Assistance Declaration,6,2010
Arizona,Fire Management Assistance Declaration,6,2010
Arizona,Major Disaster Declaration,12,2010
Arizona,Major Disaster Declaration,10,2010
Arizona,Major Disaster Declaration,3,2010
Arizona,Fire Management Assistance Declaration,6,2011
Arizona,Fire Management Assistance Declaration,6,2011
Arizona,Fire Management Assistance Declaration,5,2011
Arkansas,Major Disaster Declaration,5,1957
Arkansas,Major Disaster Declaration,5,1958
Arkansas,Major Disaster Declaration,5,1960
Arkansas,Major Disaster Declaration,5,1961
Arkansas,Major Disaster Declaration,8,1963
Arkansas,Major Disaster Declaration,3,1964
Arkansas,Major Disaster Declaration,5,1968
Arkansas,Major Disaster Declaration,5,1968
Arkansas,Major Disaster Declaration,2,1969
Arkansas,Major Disaster Declaration,1,1972
Arkansas,Major Disaster Declaration,5,1973
Arkansas,Major Disaster Declaration,4,1973
Arkansas,Major Disaster Declaration,6,1974
Arkansas,Major Disaster Declaration,5,1974
Arkansas,Emergency Declaration,9,1974
Arkansas,Major Disaster Declaration,6,1975
Arkansas,Major Disaster Declaration,4,1975
Arkansas,Emergency Declaration,12,1976
Arkansas,Major Disaster Declaration,4,1976
Arkansas,Major Disaster Declaration,9,1978
Arkansas,Emergency Declaration,4,1978
Arkansas,Emergency Declaration,1,1978
Arkansas,Major Disaster Declaration,4,1979
Arkansas,Major Disaster Declaration,4,1980
Arkansas,Major Disaster Declaration,12,1982
Arkansas,Emergency Declaration,4,1982
Arkansas,Major Disaster Declaration,8,1983
Arkansas,Major Disaster Declaration,12,1987
Arkansas,Major Disaster Declaration,12,1987
Arkansas,Major Disaster Declaration,11,1988
Arkansas,Major Disaster Declaration,5,1990
Arkansas,Major Disaster Declaration,5,1991
Arkansas,Major Disaster Declaration,7,1992
Arkansas,Major Disaster Declaration,2,1994
Arkansas,Major Disaster Declaration,4,1996
Arkansas,Major Disaster Declaration,4,1997
Arkansas,Major Disaster Declaration,3,1997
Arkansas,Emergency Declaration,4,1998
Arkansas,Major Disaster Declaration,1,1999
Arkansas,Emergency Declaration,12,2000
Arkansas,Major Disaster Declaration,12,2000
Arkansas,Major Disaster Declaration,3,2001
Arkansas,Major Disaster Declaration,1,2002
Arkansas,Major Disaster Declaration,6,2003
Arkansas,Major Disaster Declaration,1,2003
Arkansas,Major Disaster Declaration,5,2004
Arkansas,Major Disaster Declaration,6,2004
Arkansas,Emergency Declaration,9,2005
Arkansas,Major Disaster Declaration,4,2006
Arkansas,Major Disaster Declaration,3,2008
Arkansas,Major Disaster Declaration,2,2008
Arkansas,Major Disaster Declaration,5,2008
Arkansas,Major Disaster Declaration,10,2008
Arkansas,Major Disaster Declaration,9,2008
Arkansas,Major Disaster Declaration,12,2009
Arkansas,Major Disaster Declaration,6,2009
Arkansas,Emergency Declaration,1,2009
Arkansas,Major Disaster Declaration,4,2009
Arkansas,Major Disaster Declaration,2,2009
Arkansas,Major Disaster Declaration,2,2010
Arkansas,Major Disaster Declaration,5,2011
Arkansas,Major Disaster Declaration,7,2011
California,Major Disaster Declaration,2,1954
California,Major Disaster Declaration,12,1955
California,Major Disaster Declaration,12,1956
California,Major Disaster Declaration,4,1958
California,Major Disaster Declaration,11,1961
California,Major Disaster Declaration,10,1962
California,Major Disaster Declaration,3,1962
California,Major Disaster Declaration,2,1963
California,Major Disaster Declaration,12,1963
California,Major Disaster Declaration,12,1964
California,Major Disaster Declaration,4,1964
California,Major Disaster Declaration,12,1965
California,Major Disaster Declaration,1,1966
California,Major Disaster Declaration,1,1967
California,Major Disaster Declaration,1,1969
California,Major Disaster Declaration,8,1969
California,Major Disaster Declaration,9,1970
California,Major Disaster Declaration,2,1970
California,Major Disaster Declaration,2,1971
California,Major Disaster Declaration,1,1972
California,Major Disaster Declaration,4,1972
California,Major Disaster Declaration,6,1972
California,Major Disaster Declaration,2,1973
California,Major Disaster Declaration,5,1974
California,Major Disaster Declaration,1,1974
California,Major Disaster Declaration,9,1976
California,Emergency Declaration,1,1977
California,Fire Management Assistance Declaration,8,1977
California,Major Disaster Declaration,2,1978
California,Emergency Declaration,10,1978
California,Major Disaster Declaration,10,1978
California,Major Disaster Declaration,7,1979
California,Major Disaster Declaration,10,1979
California,Major Disaster Declaration,2,1980
California,Emergency Declaration,2,1980
California,Major Disaster Declaration,11,1980
California,Major Disaster Declaration,10,1980
California,Major Disaster Declaration,1,1982
California,Major Disaster Declaration,9,1982
California,Major Disaster Declaration,4,1982
California,Major Disaster Declaration,2,1983
California,Major Disaster Declaration,9,1983
California,Major Disaster Declaration,7,1983
California,Major Disaster Declaration,5,1983
California,Major Disaster Declaration,7,1985
California,Fire Management Assistance Declaration,7,1985
California,Fire Management Assistance Declaration,7,1985
California,Major Disaster Declaration,2,1986
California,Major Disaster Declaration,10,1987
California,Fire Management Assistance Declaration,9,1987
California,Major Disaster Declaration,2,1988
California,Fire Management Assistance Declaration,9,1988
California,Major Disaster Declaration,9,1988
California,Major Disaster Declaration,10,1989
California,Major Disaster Declaration,6,1990
California,Major Disaster Declaration,10,1991
California,Major Disaster Declaration,2,1991
California,Major Disaster Declaration,2,1992
California,Major Disaster Declaration,7,1992
California,Major Disaster Declaration,5,1992
California,Major Disaster Declaration,8,1992
California,Major Disaster Declaration,5,1992
California,Major Disaster Declaration,2,1993
California,Major Disaster Declaration,10,1993
California,Major Disaster Declaration,9,1994
California,Major Disaster Declaration,1,1994
California,Major Disaster Declaration,3,1995
California,Major Disaster Declaration,1,1995
California,Emergency Declaration,10,1996
California,Major Disaster Declaration,1,1997
California,Major Disaster Declaration,2,1998
California,Emergency Declaration,9,1999
California,Major Disaster Declaration,2,1999
California,Major Disaster Declaration,9,2000
California,Fire Management Assistance Declaration,9,2002
California,Fire Management Assistance Declaration,9,2002
California,Fire Management Assistance Declaration,9,2002
California,Fire Management Assistance Declaration,9,2002
California,Fire Management Assistance Declaration,9,2002
California,Fire Management Assistance Declaration,7,2002
California,Fire Management Assistance Declaration,7,2002
California,Fire Management Assistance Declaration,6,2002
California,Fire Management Assistance Declaration,6,2002
California,Fire Management Assistance Declaration,6,2002
California,Fire Management Assistance Declaration,5,2002
California,Fire Management Assistance Declaration,2,2002
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,10,2003
California,Fire Management Assistance Declaration,9,2003
California,Fire Management Assistance Declaration,8,2003
California,Fire Management Assistance Declaration,7,2003
California,Fire Management Assistance Declaration,7,2003
California,Fire Management Assistance Declaration,6,2003
California,Fire Management Assistance Declaration,6,2003
California,Fire Management Assistance Declaration,1,2003
California,Major Disaster Declaration,10,2003
California,Fire Management Assistance Declaration,9,2004
California,Fire Management Assistance Declaration,9,2004
California,Fire Management Assistance Declaration,9,2004
California,Fire Management Assistance Declaration,9,2004
California,Fire Management Assistance Declaration,8,2004
California,Fire Management Assistance Declaration,8,2004
California,Fire Management Assistance Declaration,8,2004
California,Fire Management Assistance Declaration,8,2004
California,Fire Management Assistance Declaration,8,2004
California,Fire Management Assistance Declaration,8,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,7,2004
California,Fire Management Assistance Declaration,6,2004
California,Fire Management Assistance Declaration,5,2004
California,Fire Management Assistance Declaration,5,2004
California,Fire Management Assistance Declaration,4,2004
California,Major Disaster Declaration,6,2004
California,Major Disaster Declaration,1,2004
California,Major Disaster Declaration,4,2005
California,Major Disaster Declaration,2,2005
California,Emergency Declaration,9,2005
California,Fire Management Assistance Declaration,11,2005
California,Fire Management Assistance Declaration,10,2005
California,Fire Management Assistance Declaration,10,2005
California,Fire Management Assistance Declaration,9,2005
California,Fire Management Assistance Declaration,9,2005
California,Fire Management Assistance Declaration,8,2005
California,Fire Management Assistance Declaration,7,2005
California,Major Disaster Declaration,2,2006
California,Major Disaster Declaration,6,2006
California,Fire Management Assistance Declaration,12,2006
California,Fire Management Assistance Declaration,10,2006
California,Fire Management Assistance Declaration,9,2006
California,Fire Management Assistance Declaration,9,2006
California,Fire Management Assistance Declaration,7,2006
California,Fire Management Assistance Declaration,7,2006
California,Fire Management Assistance Declaration,7,2006
California,Fire Management Assistance Declaration,2,2006
California,Emergency Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,10,2007
California,Fire Management Assistance Declaration,9,2007
California,Fire Management Assistance Declaration,9,2007
California,Fire Management Assistance Declaration,7,2007
California,Fire Management Assistance Declaration,7,2007
California,Fire Management Assistance Declaration,6,2007
California,Fire Management Assistance Declaration,6,2007
California,Fire Management Assistance Declaration,5,2007
California,Fire Management Assistance Declaration,5,2007
California,Fire Management Assistance Declaration,3,2007
California,Major Disaster Declaration,10,2007
California,Major Disaster Declaration,3,2007
California,Emergency Declaration,6,2008
California,Fire Management Assistance Declaration,11,2008
California,Fire Management Assistance Declaration,11,2008
California,Fire Management Assistance Declaration,11,2008
California,Fire Management Assistance Declaration,10,2008
California,Fire Management Assistance Declaration,10,2008
California,Fire Management Assistance Declaration,9,2008
California,Fire Management Assistance Declaration,7,2008
California,Fire Management Assistance Declaration,7,2008
California,Fire Management Assistance Declaration,7,2008
California,Fire Management Assistance Declaration,6,2008
California,Fire Management Assistance Declaration,6,2008
California,Fire Management Assistance Declaration,6,2008
California,Fire Management Assistance Declaration,6,2008
California,Fire Management Assistance Declaration,6,2008
California,Fire Management Assistance Declaration,5,2008
California,Fire Management Assistance Declaration,4,2008
California,Major Disaster Declaration,11,2008
California,Fire Management Assistance Declaration,10,2009
California,Fire Management Assistance Declaration,9,2009
California,Fire Management Assistance Declaration,9,2009
California,Fire Management Assistance Declaration,8,2009
California,Fire Management Assistance Declaration,8,2009
California,Fire Management Assistance Declaration,8,2009
California,Fire Management Assistance Declaration,8,2009
California,Fire Management Assistance Declaration,8,2009
California,Fire Management Assistance Declaration,8,2009
California,Fire Management Assistance Declaration,5,2009
California,Major Disaster Declaration,3,2010
California,Fire Management Assistance Declaration,9,2010
California,Fire Management Assistance Declaration,9,2010
California,Fire Management Assistance Declaration,8,2010
California,Fire Management Assistance Declaration,7,2010
California,Fire Management Assistance Declaration,7,2010
California,Fire Management Assistance Declaration,7,2010
California,Major Disaster Declaration,5,2010
California,Major Disaster Declaration,1,2011
California,Fire Management Assistance Declaration,9,2011
California,Fire Management Assistance Declaration,9,2011
California,Fire Management Assistance Declaration,9,2011
California,Fire Management Assistance Declaration,9,2011
California,Major Disaster Declaration,4,2011
California,Fire Management Assistance Declaration,9,2012
California,Fire Management Assistance Declaration,8,2012
California,Fire Management Assistance Declaration,8,2012
Colorado,Fire Management Assistance Declaration,10,2012
Colorado,Major Disaster Declaration,6,2012
Colorado,Fire Management Assistance Declaration,6,2012
Colorado,Fire Management Assistance Declaration,6,2012
Colorado,Fire Management Assistance Declaration,6,2012
Colorado,Fire Management Assistance Declaration,3,2012
Colorado,Fire Management Assistance Declaration,6,2011
Colorado,Fire Management Assistance Declaration,4,2011
Colorado,Fire Management Assistance Declaration,3,2011
Colorado,Fire Management Assistance Declaration,9,2010
Colorado,Fire Management Assistance Declaration,9,2010
Colorado,Fire Management Assistance Declaration,1,2009
Colorado,Fire Management Assistance Declaration,6,2008
Colorado,Major Disaster Declaration,5,2008
Colorado,Fire Management Assistance Declaration,4,2008
Colorado,Fire Management Assistance Declaration,6,2007
Colorado,Emergency Declaration,1,2007
Colorado,Emergency Declaration,1,2007
Colorado,Fire Management Assistance Declaration,9,2006
Colorado,Fire Management Assistance Declaration,6,2006
Colorado,Fire Management Assistance Declaration,1,2006
Colorado,Emergency Declaration,9,2005
Colorado,Fire Management Assistance Declaration,7,2005
Colorado,Fire Management Assistance Declaration,7,2004
Colorado,Fire Management Assistance Declaration,4,2004
Colorado,Fire Management Assistance Declaration,11,2003
Colorado,Fire Management Assistance Declaration,10,2003
Colorado,Fire Management Assistance Declaration,10,2003
Colorado,Fire Management Assistance Declaration,8,2003
Colorado,Fire Management Assistance Declaration,7,2003
Colorado,Emergency Declaration,4,2003
Colorado,Fire Management Assistance Declaration,7,2002
Colorado,Fire Management Assistance Declaration,7,2002
Colorado,Fire Management Assistance Declaration,7,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Major Disaster Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,6,2002
Colorado,Fire Management Assistance Declaration,5,2002
Colorado,Fire Management Assistance Declaration,5,2002
Colorado,Fire Management Assistance Declaration,5,2002
Colorado,Fire Management Assistance Declaration,4,2002
Colorado,Fire Management Assistance Declaration,11,2001
Colorado,Major Disaster Declaration,5,2001
Colorado,Fire Management Assistance Declaration,9,2000
Colorado,Fire Management Assistance Declaration,6,2000
Colorado,Fire Management Assistance Declaration,6,2000
Colorado,Major Disaster Declaration,5,1999
Colorado,Major Disaster Declaration,8,1997
Colorado,Fire Management Assistance Declaration,5,1996
Colorado,Fire Management Assistance Declaration,7,1994
Colorado,Fire Management Assistance Declaration,7,1994
Colorado,Fire Management Assistance Declaration,7,1994
Colorado,Fire Management Assistance Declaration,11,1990
Colorado,Fire Management Assistance Declaration,7,1989
Colorado,Major Disaster Declaration,7,1984
Colorado,Major Disaster Declaration,7,1982
Colorado,Fire Management Assistance Declaration,6,1980
Colorado,Fire Management Assistance Declaration,9,1978
Colorado,Major Disaster Declaration,8,1976
Colorado,Major Disaster Declaration,7,1973
Colorado,Major Disaster Declaration,5,1973
Colorado,Major Disaster Declaration,5,1973
Colorado,Major Disaster Declaration,9,1970
Colorado,Major Disaster Declaration,5,1969
Colorado,Major Disaster Declaration,6,1965
Colorado,Major Disaster Declaration,6,1956
Colorado,Major Disaster Declaration,5,1955
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,6,1976
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,8,1978
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,11,1980
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,12,1986
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,11,1987
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,1,1988
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,2,1990
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,12,1997
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,12,1997
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,12,2002
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,8,2002
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,8,2004
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,7,2004
Commonwealth of the Northern Mariana Islands,Major Disaster Declaration,11,2005
Connecticut,Major Disaster Declaration,9,1954
Connecticut,Major Disaster Declaration,8,1955
Connecticut,Emergency Declaration,2,1978
Connecticut,Major Disaster Declaration,10,1979
Connecticut,Major Disaster Declaration,6,1982
Connecticut,Major Disaster Declaration,6,1984
Connecticut,Major Disaster Declaration,10,1985
Connecticut,Major Disaster Declaration,7,1989
Connecticut,Major Disaster Declaration,8,1991
Connecticut,Major Disaster Declaration,12,1992
Connecticut,Emergency Declaration,3,1993
Connecticut,Major Disaster Declaration,1,1996
Connecticut,Major Disaster Declaration,9,1999
Connecticut,Emergency Declaration,3,2003
Connecticut,Emergency Declaration,1,2004
Connecticut,Emergency Declaration,9,2005
Connecticut,Emergency Declaration,2,2005
Connecticut,Major Disaster Declaration,12,2005
Connecticut,Emergency Declaration,5,2006
Connecticut,Major Disaster Declaration,5,2007
Connecticut,Major Disaster Declaration,4,2010
Connecticut,Emergency Declaration,10,2011
Connecticut,Emergency Declaration,8,2011
Connecticut,Major Disaster Declaration,11,2011
Connecticut,Major Disaster Declaration,9,2011
Connecticut,Major Disaster Declaration,3,2011
Connecticut,Emergency Declaration,10,2012
Connecticut,Major Disaster Declaration,10,2012
Delaware,Major Disaster Declaration,3,1962
Delaware,Major Disaster Declaration,8,1965
Delaware,Major Disaster Declaration,2,1992
Delaware,Major Disaster Declaration,1,1993
Delaware,Emergency Declaration,3,1993
Delaware,Major Disaster Declaration,3,1994
Delaware,Major Disaster Declaration,1,1996
Delaware,Major Disaster Declaration,2,1998
Delaware,Major Disaster Declaration,9,1999
Delaware,Emergency Declaration,3,2003
Delaware,Major Disaster Declaration,9,2003
Delaware,Major Disaster Declaration,9,2003
Delaware,Major Disaster Declaration,11,2004
Delaware,Emergency Declaration,9,2005
Delaware,Major Disaster Declaration,7,2006
Delaware,Major Disaster Declaration,3,2010
Delaware,Emergency Declaration,8,2011
Delaware,Major Disaster Declaration,9,2011
Delaware,Emergency Declaration,10,2012
Delaware,Major Disaster Declaration,11,2012
District of Columbia,Emergency Declaration,10,2012
District of Columbia,Major Disaster Declaration,12,2012
District of Columbia,Major Disaster Declaration,7,2012
District of Columbia (DC),Major Disaster Declaration,8,1989
District of Columbia (DC),Emergency Declaration,3,1993
District of Columbia (DC),Major Disaster Declaration,6,1994
District of Columbia (DC),Major Disaster Declaration,1,1996
District of Columbia (DC),Major Disaster Declaration,8,2000
District of Columbia (DC),Major Disaster Declaration,4,2000
District of Columbia (DC),Major Disaster Declaration,8,2001
District of Columbia (DC),Emergency Declaration,3,2003
District of Columbia (DC),Major Disaster Declaration,9,2003
District of Columbia (DC),Emergency Declaration,9,2005
District of Columbia (DC),Emergency Declaration,1,2009
District of Columbia (DC),Major Disaster Declaration,3,2010
District of Columbia (DC),Major Disaster Declaration,3,2010
District of Columbia (DC),Emergency Declaration,8,2011
District of Columbia (DC),Major Disaster Declaration,11,2011
District of Columbia (DC),Major Disaster Declaration,9,2011
